dataset,esn,unit,flight_cycle,datetime,operator,depart_icao,destination_icao,hpc_eff_mod,hpc_flow_mod,tra,t2,t24,t30,t50,p2,p15,p30,nf,nc,epr,ps30,phi,nrf,nrc,bpr,farb,htbleed,nf_dmd,pcnfr_dmd,w31,w32
train_FD001,999056,56,12,2018-01-02 12:02:23,PGT,LTFJ,LTAI,-0.0024,0.0003,100,518.67,643.01,1593.52,1402.8,14.62,21.61,553.64,2388.13,9054.31,1.3,47.55,521.17,2388.09,8132.34,8.4335,0.03,393,2388,100,38.81,23.3705
train_FD001,999056,56,13,2018-01-02 13:40:47,PGT,LTAI,LTFJ,0.0029,0.0002,100,518.67,642.11,1589.07,1407.53,14.62,21.61,553.05,2388.1,9049.69,1.3,47.58,521.33,2388.05,8131.68,8.4253,0.03,393,2388,100,38.77,23.2475
train_FD001,999056,56,14,2018-01-03 00:43:21,PGT,LTFJ,LTCG,0.0001,0,100,518.67,642.38,1584.78,1408.41,14.62,21.61,552.86,2388.07,9054.43,1.3,47.67,521.42,2388.09,8134.18,8.4481,0.03,393,2388,100,38.86,23.3557
train_FD001,999056,56,15,2018-01-03 02:38:48,PGT,LTCG,LTAF,-0.0003,0.0002,100,518.67,643.19,1590.76,1400.65,14.62,21.61,553.1,2388.16,9050.84,1.3,47.58,520.95,2388.17,8134.61,8.4309,0.03,393,2388,100,38.77,23.2353
train_FD001,999056,56,16,2018-01-03 04:32:45,PGT,LTAF,LTCG,0.0007,0.0001,100,518.67,642.85,1589.32,1411.6799999999998,14.62,21.61,553.36,2388.07,9047.82,1.3,47.44,521.42,2388.15,8131.91,8.4317,0.03,393,2388,100,38.91,23.2356
train_FD001,999056,56,17,2018-01-03 06:19:41,PGT,LTCG,LTFJ,-0.0015,0.0004,100,518.67,642.9,1595.72,1410.74,14.62,21.61,553.67,2388.09,9055.67,1.3,47.69,521.4,2388.13,8136.35,8.4419,0.03,396,2388,100,38.75,23.3865
train_FD001,999056,56,18,2018-01-03 08:55:30,PGT,LTFJ,LTCJ,-0.0036,0.0003,100,518.67,642.07,1588.96,1408.61,14.62,21.61,553,2388.14,9047.62,1.3,47.59,521.1,2388.15,8132.61,8.4558,0.03,393,2388,100,38.84,23.3301
train_FD001,999056,56,19,2018-01-03 11:08:42,PGT,LTCJ,LTFJ,0.002,-0.0001,100,518.67,642.79,1588.4,1409.01,14.62,21.61,553.75,2388.14,9052.77,1.3,47.57,521.63,2388.14,8132.61,8.4339,0.03,394,2388,100,38.74,23.3115
train_FD001,999056,56,20,2018-01-03 23:36:41,PGT,LTFJ,LTCB,-0.0004,0,100,518.67,642.43,1589.18,1405.39,14.62,21.61,553.73,2388.11,9059.19,1.3,47.61,520.94,2388.11,8128.71,8.4471,0.03,394,2388,100,38.77,23.263
train_FD001,999056,56,21,2018-01-04 01:28:08,PGT,LTCB,LTFJ,-0.0005,-0.0004,100,518.67,642.31,1592.3,1398.7,14.62,21.61,553.65,2388.1,9050.52,1.3,47.45,520.82,2388.13,8131.19,8.4288,0.03,392,2388,100,38.78,23.1921
train_FD001,999056,56,22,2018-01-04 03:32:29,PGT,LTFJ,LTAJ,-0.0017,0,100,518.67,642.6,1586.27,1412.3049999999998,14.62,21.61,553.51,2388.09,9041.14,1.3,47.74,521.35,2388.16,8135.68,8.4098,0.03,395,2388,100,38.57,23.3052
train_FD001,999056,56,23,2018-01-04 05:39:08,PGT,LTAJ,LTFJ,0.0009,-0.0001,100,518.67,642.05,1587.45,1408.53,14.62,21.61,553.87,2388.15,9052.32,1.3,47.65,521.36,2388.12,8136.64,8.4669,0.03,394,2388,100,38.82,23.3351
train_FD001,999056,56,24,2018-01-04 07:58:58,PGT,LTFJ,LTAF,0.002,-0.0002,100,518.67,642.83,1589.49,1405.08,14.62,21.61,553.13,2388.15,9058.23,1.3,47.3,521.35,2388.12,8132.6,8.4173,0.03,392,2388,100,38.83,23.2847
train_FD001,999056,56,25,2018-01-04 09:58:10,PGT,LTAF,LTFJ,0.0024,0.0001,100,518.67,642.75,1591.81,1414.225,14.62,21.61,553.5,2388.15,9050.99,1.3,47.57,521.75,2388.1,8132.67,8.4321,0.03,394,2388,100,38.84,23.2586
train_FD001,999056,56,26,2018-01-04 12:14:33,PGT,LTFJ,LTAI,-0.0009,0.0003,100,518.67,643.2,1594.66,1400.57,14.62,21.61,553.1,2388.13,9051.74,1.3,47.59,521.27,2388.13,8132.91,8.43,0.03,395,2388,100,38.78,23.313
train_FD001,999056,56,27,2018-01-04 14:02:28,PGT,LTAI,LTFJ,0.0017,-0.0004,100,518.67,642.17,1592.05,1410.2350000000001,14.62,21.61,553.06,2388.17,9051.2,1.3,47.52,521.51,2388.09,8133.85,8.4428,0.03,394,2388,100,38.87,23.2896
train_FD001,999027,27,1,2018-01-11 06:26:53,PGT,LTCK,LTFJ,-0.0011,-0.0001,100,518.67,642.7,1593.27,1404.91,14.62,21.61,552.78,2388.08,9066.69,1.3,47.56,521.98,2388.07,8147.87,8.3924,0.03,393,2388,100,38.98,23.3195
train_FD001,999027,27,2,2018-01-11 09:03:07,PGT,LTFJ,LTCJ,-0.0001,-0.0005,100,518.67,642.85,1584.8,1409.4,14.62,21.61,553.28,2388.07,9070.38,1.3,47.5,522.03,2388.13,8142.34,8.4406,0.03,392,2388,100,38.82,23.2761
train_FD001,999027,27,3,2018-01-11 11:14:40,PGT,LTCJ,LTFJ,-0.0022,-0.0004,100,518.67,642.83,1595.96,1403.62,14.62,21.61,553.38,2388.08,9070.22,1.3,47.52,521.66,2388.12,8149.48,8.408,0.03,393,2388,100,38.83,23.2556
test_FD001,999155,55,1,2018-02-26 23:00:20,PGT,LTFJ,LTCE,-0.0017,-0.0001,100,518.67,642.47,1587.07,1404.41,14.62,21.61,553.54,2388.03,9054.97,1.3,47.36,521.66,2388.04,8137.44,8.4182,0.03,392,2388,100,38.92,23.4867
test_FD001,999155,55,2,2018-02-26 23:59:22,PGT,LTFJ,LTCE,0.0012,-0.0004,100,518.67,642.46,1586.43,1402.26,14.62,21.61,553.23,2388.07,9051.28,1.3,47.39,521.91,2388.01,8141.07,8.3971,0.03,392,2388,100,38.93,23.3573
test_FD001,999155,55,3,2018-02-27 01:35:05,PGT,,,-0.0025,-0.0003,100,518.67,642.18,1584.86,1397.3,14.62,21.61,555.37,2388,9055.64,1.3,47.21,522.21,2388.07,8138.13,8.3802,0.03,392,2388,100,38.98,23.3401
test_FD001,999155,55,4,2018-02-27 01:35:05,PGT,,,-0.0008,0.0004,100,518.67,642.52,1588.69,1398.24,14.62,21.61,554.06,2388.05,9060.66,1.3,47.23,522.07,2387.97,8129.54,8.4315,0.03,392,2388,100,39.12,23.3567
test_FD001,999155,55,5,2018-02-27 02:05:51,PGT,LTCE,LTFJ,-0.0016,-0.0003,100,518.67,641.84,1587.5,1398.65,14.62,21.61,553.93,2388,9061.33,1.3,47.28,521.74,2388.02,8139.33,8.4147,0.03,392,2388,100,39.04,23.4153
test_FD001,999155,55,6,2018-02-27 04:36:11,PGT,LTFJ,LTAC,0.0007,-0.0003,100,518.67,641.72,1582.23,1403.85,14.62,21.61,554.41,2388.05,9051.14,1.3,47.32,521.83,2388.03,8136.48,8.3843,0.03,391,2388,100,38.89,23.3396
test_FD001,999155,55,7,2018-02-27 06:08:42,PGT,LTAC,LTFJ,0.0013,0.0003,100,518.67,642.04,1584.43,1394.94,14.62,21.61,554.18,2388.1,9056.73,1.3,47.26,522.17,2388.03,8132.11,8.3889,0.03,392,2388,100,38.81,23.3233
test_FD001,999155,55,8,2018-02-27 07:43:58,PGT,LTFJ,LTDA,-0.0044,-0.0002,100,518.67,642.71,1590.21,1399.9,14.62,21.61,553.39,2388.05,9050.65,1.3,47.21,521.85,2388.02,8134.06,8.4086,0.03,392,2388,100,38.85,23.4352
test_FD001,999155,55,9,2018-02-27 09:50:22,PGT,LTDA,LTFJ,-0.0047,0.0002,100,518.67,642.38,1587.07,1405.51,14.62,21.61,554.78,2388.03,9051.7,1.3,47.25,522.12,2388.03,8140.18,8.4351,0.03,393,2388,100,39.05,23.3281
test_FD001,999155,55,10,2018-02-27 12:14:02,PGT,LTFJ,LTAY,0.0022,-0.0005,100,518.67,642.28,1582.65,1400.99,14.62,21.61,554.06,2388.07,9059.46,1.3,47.32,522,2388.02,8137.89,8.3907,0.03,393,2388,100,39.08,23.294
test_FD001,999155,55,11,2018-02-27 13:30:30,PGT,LTAY,LTFJ,0.0018,-0.0001,100,518.67,642.15,1587.89,1400.92,14.62,21.61,553.73,2388.03,9051.5,1.3,47.08,522.34,2388.01,8135.49,8.4036,0.03,392,2388,100,39.04,23.4947
test_FD001,999155,55,12,2018-02-27 20:45:46,PGT,LTFJ,LTAC,-0.0003,0.0003,100,518.67,642.93,1590.84,1400.16,14.62,21.61,554.4,2388.02,9053.54,1.3,47.4,522.47,2388.06,8136.1,8.4235,0.03,392,2388,100,38.98,23.3509
test_FD001,999155,55,13,2018-02-27 21:44:45,PGT,LTFJ,LTAC,0.0018,-0.0003,100,518.67,642.34,1583.11,1407.44,14.62,21.61,554.51,2388.05,9047.12,1.3,47.37,522.02,2388.01,8133.32,8.4268,0.03,393,2388,100,38.94,23.3787
test_FD001,999155,55,14,2018-02-27 23:25:55,PGT,LTAC,LTFJ,0.0011,0.0004,100,518.67,642.74,1584.48,1399.25,14.62,21.61,554.39,2387.99,9047.88,1.3,47.36,521.93,2388.03,8131.63,8.4263,0.03,392,2388,100,38.86,23.3601
test_FD001,999155,55,15,2018-02-28 01:24:52,PGT,LTFJ,LTBJ,-0.0004,0.0005,100,518.67,642.81,1579.48,1403,14.62,21.61,554.19,2388.02,9055.38,1.3,47.25,522.11,2388.04,8143,8.412,0.03,392,2388,100,38.97,23.3404
test_FD001,999155,55,16,2018-02-28 03:12:46,PGT,LTBJ,LTFJ,-0.0032,0.0004,100,518.67,642.51,1585.22,1397.03,14.62,21.61,554.58,2388.02,9049.32,1.3,47.16,522.11,2388.01,8134.94,8.4375,0.03,391,2388,100,38.95,23.2439
test_FD001,999155,55,17,2018-02-28 04:59:08,PGT,LTFJ,LTBJ,0.0027,-0.0003,100,518.67,642.39,1583.71,1404.53,14.62,21.61,554.25,2388.04,9049.06,1.3,47.26,522.05,2388.06,8140.56,8.4072,0.03,391,2388,100,38.97,23.3268
test_FD001,999155,55,18,2018-02-28 06:38:27,PGT,LTBJ,LTFJ,-0.0037,0.0004,100,518.67,642.77,1591.87,1403.65,14.62,21.61,554.5,2388.08,9055.39,1.3,47.41,522.09,2388.01,8139.18,8.4171,0.03,394,2388,100,39.09,23.4777
test_FD001,999155,55,19,2018-02-28 07:52:31,PGT,LTFJ,,0.0012,-0.0001,100,518.67,642.23,1579.01,1403.19,14.62,21.61,554.17,2388.07,9055.29,1.3,47.45,521.83,2388.05,8138.77,8.4172,0.03,392,2388,100,38.83,23.4409
test_FD001,999155,55,20,2018-02-28 08:51:29,PGT,LTFJ,LTFH,0.0018,0.0002,100,518.67,642.21,1594.66,1399.54,14.62,21.61,554.53,2388.07,9055.07,1.3,47.46,522.08,2388.04,8138.61,8.401,0.03,392,2388,100,38.99,23.3772
test_FD001,999155,55,21,2018-02-28 10:32:53,PGT,LTFH,LTFJ,0.0032,-0.0001,100,518.67,642.49,1583.28,1404.65,14.62,21.61,554.64,2387.98,9044.42,1.3,47.22,522.15,2388.08,8135.74,8.3825,0.03,392,2388,100,39.04,23.3357
test_FD001,999155,55,22,2018-02-28 13:19:28,PGT,LTFJ,LTBO,0.0002,0.0002,100,518.67,641.86,1584.18,1401.37,14.62,21.61,554.79,2388.05,9053.77,1.3,47.24,522.02,2388,8137.14,8.4401,0.03,391,2388,100,38.94,23.3752
test_FD001,999155,55,23,2018-02-28 19:53:00,PGT,,,-0.0033,0.0002,100,518.67,642.56,1584.2,1406.85,14.62,21.61,554.25,2388.04,9054.6,1.3,47.37,521.53,2388.03,8139.63,8.3747,0.03,391,2388,100,38.83,23.3058
test_FD001,999155,55,24,2018-02-28 21:03:21,PGT,,,-0.0032,0,100,518.67,642.26,1583.2,1402.52,14.62,21.61,553.83,2388.03,9057.49,1.3,47.18,522.31,2388.04,8130.78,8.4064,0.03,391,2388,100,38.85,23.4231
test_FD001,999155,55,25,2018-02-28 23:15:07,PGT,,,-0.0012,0.0001,100,518.67,642.42,1587.28,1398.82,14.62,21.61,553.9,2388.02,9059.99,1.3,47.25,522.53,2388.06,8133.92,8.4385,0.03,392,2388,100,39.09,23.329
test_FD001,999155,55,26,2018-03-01 01:04:00,PGT,,,-0.0015,-0.0002,100,518.67,642.47,1584.37,1403.13,14.62,21.61,554.22,2388.03,9052.65,1.3,47.33,522.29,2388.07,8135.72,8.3852,0.03,392,2388,100,38.9,23.4673
test_FD001,999155,55,27,2018-03-01 03:38:15,PGT,,,0.0013,0,100,518.67,642.03,1587.39,1401.74,14.62,21.61,554.1,2388.07,9055.31,1.3,47.23,522.57,2388.06,8135.7,8.4396,0.03,393,2388,100,38.96,23.4078
test_FD001,999143,43,1,2018-06-22 12:58:44,PGT,LTFJ,LTFE,0.0023,-0.0004,100,518.67,642.02,1588.76,1402.16,14.62,21.61,553.93,2388.06,9047.72,1.3,47.23,522.3,2388.03,8131.77,8.44,0.03,393,2388,100,38.77,23.359
test_FD001,999143,43,2,2018-06-22 14:38:19,PGT,LTFE,LTFJ,-0.0017,-0.0001,100,518.67,642.28,1579.72,1408.22,14.62,21.61,554.6,2388.09,9049.32,1.3,47.21,522.09,2388,8132.44,8.4162,0.03,393,2388,100,38.89,23.4174
test_FD001,999143,43,3,2018-06-22 16:36:54,PGT,LTFJ,LTBO,0.001,-0.0002,100,518.67,642.45,1581.54,1406.98,14.62,21.61,554.36,2388.04,9054.72,1.3,47.12,521.81,2388.04,8132.64,8.411,0.03,392,2388,100,38.96,23.396
train_FD001,999027,27,4,2018-01-11 14:21:34,PGT,LTFJ,UWWW,-0.0014,-0.0001,100,518.67,642.43,1589.75,1403.14,14.62,21.61,554.42,2388.08,9065.28,1.3,47.54,521.83,2388.12,8148.24,8.4408,0.03,393,2388,100,39.06,23.3193
train_FD001,999027,27,5,2018-01-11 23:45:00,PGT,LTFJ,LTCG,-0.0002,0.0004,100,518.67,642.76,1589.51,1410.995,14.62,21.61,553.49,2388.04,9071.52,1.3,47.46,521.93,2388.13,8144.03,8.4467,0.03,393,2388,100,38.68,23.3404
train_FD001,999027,27,6,2018-01-12 01:44:04,PGT,LTCG,LTFJ,-0.0014,0.0001,100,518.67,642.5,1587.74,1407.5,14.62,21.61,553.38,2388.06,9064.55,1.3,47.56,521.65,2388.11,8143.37,8.4191,0.03,393,2388,100,38.94,23.3429
train_FD001,999027,27,7,2018-01-12 04:09:10,PGT,LTFJ,LKPR,0.0017,-0.0003,100,518.67,642.87,1588.09,1409.32,14.62,21.61,554.35,2388.03,9076.28,1.3,47.46,521.62,2388.14,8153.49,8.4316,0.03,392,2388,100,38.9,23.3397
train_FD001,999027,27,8,2018-01-12 07:18:46,PGT,LKPR,LTFJ,-0.0024,-0.0002,100,518.67,642.43,1593.59,1410.63,14.62,21.61,553.09,2388.1,9070.92,1.3,47.45,521.76,2388.09,8145.92,8.429,0.03,395,2388,100,38.85,23.3428
train_FD001,999027,27,9,2018-01-12 12:16:15,PGT,LTFJ,LTAU,-0.0024,-0.0002,100,518.67,642.7,1584.93,1410.3899999999999,14.62,21.61,553.87,2388.12,9071.87,1.3,47.42,521.29,2388.12,8141.38,8.4376,0.03,394,2388,100,38.73,23.2766
train_FD001,999027,27,10,2018-01-12 13:52:41,PGT,LTAU,LTFJ,0.0007,-0.0005,100,518.67,641.84,1587.58,1412.435,14.62,21.61,553.53,2388.02,9069.73,1.3,47.46,521.35,2388.06,8151.22,8.4667,0.03,393,2388,100,38.84,23.2138
train_FD001,999027,27,11,2018-01-12 21:07:10,PGT,LTFJ,LTCS,-0.0003,-0.0003,100,518.67,643.16,1590.25,1410.27,14.62,21.61,553.74,2388.09,9063.08,1.3,47.42,522.07,2388.12,8147.64,8.444,0.03,393,2388,100,38.82,23.3558
train_FD001,999027,27,12,2018-01-12 23:14:16,PGT,LTCS,LTFJ,0.0017,0,100,518.67,642.5,1600.91,1412.77,14.62,21.61,553.5,2388.09,9061.03,1.3,47.48,521.68,2388.08,8150.9,8.3974,0.03,392,2388,100,38.75,23.3561
train_FD001,999027,27,13,2018-01-13 02:22:35,PGT,LTFJ,LFLL,0.0013,0.0001,100,518.67,642.24,1591.16,1399.22,14.62,21.61,553.41,2388.07,9072.18,1.3,47.53,520.86,2388.1,8153.05,8.4279,0.03,394,2388,100,38.92,23.3416
train_FD001,999027,27,14,2018-01-13 05:31:35,PGT,LFLL,,0.0026,0.0001,100,518.67,643.05,1590.75,1410.56,14.62,21.61,553.21,2388.11,9069.1,1.3,47.63,521.86,2388.15,8147.08,8.4312,0.03,395,2388,100,38.72,23.3699
train_FD001,999027,27,15,2018-01-13 05:31:35,PGT,LFLL,,-0.0042,0,100,518.67,641.86,1591.36,1409.92,14.62,21.61,553.28,2388.09,9074.25,1.3,47.63,521.37,2388.02,8151.2,8.4562,0.03,392,2388,100,38.93,23.3496
train_FD001,999027,27,16,2018-01-13 06:30:57,PGT,LFLL,LTFJ,-0.0013,-0.0004,100,518.67,642.87,1593.17,1403.79,14.62,21.61,553.76,2388.1,9070.13,1.3,47.58,521,2388.07,8149.27,8.4437,0.03,393,2388,100,39.1,23.2941
train_FD001,999027,27,17,2018-01-13 13:30:02,PGT,LTFJ,BKPR,0.0021,-0.0003,100,518.67,642.63,1590.85,1410.885,14.62,21.61,553.85,2388.1,9067.17,1.3,47.61,521.42,2388.12,8147.15,8.4775,0.03,391,2388,100,38.7,23.2104
train_FD001,999027,27,18,2018-01-13 19:58:00,PGT,BKPR,LTFJ,0.0003,-0.0005,100,518.67,643,1586.24,1407.36,14.62,21.61,553.15,2388.05,9068.5,1.3,47.51,520.59,2388.06,8152.72,8.4216,0.03,392,2388,100,38.82,23.3788
train_FD001,999027,27,19,2018-01-13 21:08:06,PGT,BKPR,LTFJ,0.0003,0.0001,100,518.67,642.6,1595.61,1410.0700000000002,14.62,21.61,553.43,2388.07,9074.96,1.3,47.47,520.92,2388.08,8145.83,8.4042,0.03,394,2388,100,38.86,23.1602
train_FD001,999027,27,20,2018-01-13 23:45:37,PGT,LTFJ,LOWW,0.0001,0,100,518.67,642.13,1591.67,1408.51,14.62,21.61,553.68,2388.08,9069.56,1.3,47.6,520.97,2388.12,8151.82,8.4565,0.03,394,2388,100,38.68,23.3718
train_FD001,999027,27,21,2018-01-14 00:44:39,PGT,LTFJ,LOWW,0.0016,-0.0002,100,518.67,642.94,1590.89,1409.25,14.62,21.61,553.26,2388.07,9072.4,1.3,47.54,521.51,2388.03,8148.73,8.457,0.03,394,2388,100,39.03,23.1897
train_FD001,999027,27,22,2018-01-14 03:39:47,PGT,LOWW,LTFJ,-0.0008,0.0002,100,518.67,642.48,1585.96,1408.21,14.62,21.61,553.18,2388.09,9072.9,1.3,47.69,521.03,2388.05,8149.25,8.4985,0.03,393,2388,100,38.86,23.2057
train_FD001,999027,27,23,2018-01-14 06:31:31,PGT,LTFJ,LIRF,0,0.0002,100,518.67,642.64,1592.61,1413.65,14.62,21.61,553.58,2388.12,9074.79,1.3,47.43,521.03,2388.13,8151.5,8.4139,0.03,394,2388,100,38.71,23.303
train_FD001,999027,27,24,2018-01-14 10:17:52,PGT,LIRF,LTFJ,-0.0019,0.0002,100,518.67,642.41,1597.87,1409,14.62,21.61,553.78,2388.07,9086.81,1.3,47.54,521.51,2388.06,8151.6,8.4572,0.03,394,2388,100,38.76,23.2785
train_FD001,999027,27,25,2018-01-14 15:16:59,PGT,LTFJ,URKK,0.0008,-0.0001,100,518.67,643.26,1595.23,1408.35,14.62,21.61,552.69,2388.07,9082.15,1.3,47.71,522.37,2388.11,8146.29,8.4474,0.03,392,2388,100,38.87,23.2952
train_FD001,999027,27,26,2018-01-14 18:33:19,PGT,URKK,LTFJ,-0.0003,0.0002,100,518.67,642.66,1590.7,1412.865,14.62,21.61,553.07,2388.06,9073.48,1.3,47.67,520.96,2388.05,8153.95,8.484,0.03,393,2388,100,38.65,23.31
train_FD001,999027,27,27,2018-01-15 02:00:58,PGT,LTFJ,LTDA,0.0031,-0.0003,100,518.67,643.17,1584.43,1413.54,14.62,21.61,552.48,2388.1,9075.95,1.3,47.53,521.28,2388.13,8151.37,8.4153,0.03,392,2388,100,38.76,23.2503
train_FD001,999041,41,1,2018-06-14 06:31:44,PGT,LTAF,LTCG,0.0006,-0.0003,100,518.67,642.12,1587,1395.03,14.62,21.6,554.32,2388.01,9059.48,1.3,47.37,522.56,2388,8148.23,8.4302,0.03,393,2388,100,38.92,23.3716
train_FD001,999041,41,2,2018-06-14 08:11:13,PGT,LTCG,LTFJ,-0.0029,0.0001,100,518.67,641.57,1583.3,1401.3,14.62,21.61,553.75,2388.03,9066.42,1.3,47.31,521.86,2388.07,8150.16,8.3875,0.03,391,2388,100,39.15,23.4643
train_FD001,999041,41,3,2018-06-14 10:51:05,PGT,LTFJ,LTAI,0.0011,-0.0001,100,518.67,642.65,1588.16,1399.07,14.62,21.61,554.49,2388.01,9071.6,1.3,47.35,522.36,2388.06,8139.22,8.3807,0.03,392,2388,100,39.07,23.4666
train_FD001,999041,41,4,2018-06-14 12:46:02,PGT,LTAI,LTFJ,-0.0011,-0.0004,100,518.67,642.47,1581.81,1391.27,14.62,21.61,554,2388.03,9065.11,1.3,47.34,521.75,2387.98,8145.66,8.3903,0.03,392,2388,100,38.96,23.4438
train_FD001,999041,41,5,2018-06-14 15:47:24,PGT,LTFJ,LTAJ,0.0015,-0.0001,100,518.67,641.98,1582.24,1396.86,14.62,21.61,553.36,2388.07,9060.33,1.3,47.25,521.28,2388.01,8148.46,8.3946,0.03,394,2388,100,38.92,23.4964
train_FD001,999041,41,6,2018-06-14 22:08:58,PGT,LTAJ,LTFJ,-0.0003,0.0004,100,518.67,642.28,1579.99,1396.47,14.62,21.61,554.32,2388.05,9064.07,1.3,47.23,521.81,2388,8144.15,8.3843,0.03,392,2388,100,39.1,23.4039
test_FD001,999143,43,4,2018-06-22 20:49:06,PGT,LTBO,LTFJ,0.0008,-0.0004,100,518.67,642.13,1595.31,1404.2,14.62,21.61,553.19,2388.07,9048.65,1.3,47.32,522.38,2388.08,8122.75,8.3651,0.03,393,2388,100,38.81,23.3342
test_FD001,999143,43,5,2018-06-22 22:22:14,PGT,LTFJ,LTCG,0.0022,0.0001,100,518.67,642.28,1592.92,1402.68,14.62,21.61,554.12,2388.1,9047.16,1.3,47.27,522.27,2388.05,8129.44,8.4257,0.03,393,2388,100,38.84,23.334
test_FD001,999143,43,6,2018-06-23 00:19:32,PGT,LTCG,LTFJ,0.0014,-0.0001,100,518.67,642.53,1586.97,1402.56,14.62,21.61,554.12,2388.03,9047.84,1.3,47.18,521.13,2388.12,8127.98,8.4041,0.03,392,2388,100,39.04,23.3419
test_FD001,999143,43,7,2018-06-23 03:23:31,PGT,LTFJ,LTAI,0,0.0002,100,518.67,642.53,1575.55,1401.31,14.62,21.61,553.73,2388.07,9052.49,1.3,47.26,521.75,2388.09,8131.83,8.4108,0.03,392,2388,100,38.92,23.4383
test_FD001,999143,43,8,2018-06-23 05:13:46,PGT,LTAI,LTFJ,0.0015,0.0003,100,518.67,641.98,1582.09,1404.08,14.62,21.61,554.55,2388.05,9052.95,1.3,47.24,521.59,2388.06,8135.79,8.3942,0.03,394,2388,100,38.96,23.4885
test_FD001,999143,43,9,2018-06-23 07:03:02,PGT,LTFJ,LTAI,-0.0012,0.0005,100,518.67,642.42,1588.91,1400.9,14.62,21.61,553.86,2388.13,9050.86,1.3,47.28,521.81,2388.07,8130.93,8.3921,0.03,392,2388,100,38.82,23.3396
test_FD001,999143,43,10,2018-06-23 08:45:53,PGT,LTAI,LTFJ,-0.001,-0.0002,100,518.67,642.39,1584.44,1401.02,14.62,21.61,554.12,2388.06,9048.53,1.3,47.23,521.39,2388.13,8133.02,8.4059,0.03,393,2388,100,38.81,23.3526
test_FD001,999143,43,11,2018-06-23 11:11:34,PGT,LTFJ,LTAF,-0.0005,0,100,518.67,642.19,1584.99,1403.08,14.62,21.61,553.8,2388.06,9058.06,1.3,47.14,520.99,2388.05,8130.78,8.457,0.03,393,2388,100,38.79,23.4155
